Category,Keywords,Generated_Keywords
GHG Emissions,"greenhouse_gas_emissions,greenhouse_gases,ghg_emissions,scope1_emissions,scope_1_emissions,co2,carbon_dioxide,carbon_dioxide_emissions,ch4,methane,methane_emissions,n2o,nitrous_oxide,nitrous_oxide_emissions,hfc,hfcs,hydrofluorocarbon,hydrofluorocarbons,pfc,pfcs,perfluorocarbon,perfluorocarbons,sf6,sulfur_hexafluoride,sulfur_hexafluoride_emissions,nf3,nitrogen_trifluoride,nitrogen_trifluoride_emissions,ghg,ghgs,carbon_intensity,carbon_emissions_intensity,ghg_intensity,ghg_emissions_intensity,carbon_regulation,carbon_regulations,direct_emissions,direct_ghg_emissions,kyoto_protocol,iso14064,iso14064_1,co2e,carbon_equivalent,emission_factor,ghg_footprint,net_zero_emissions","ghg_emissions,co2,carbon_dioxide,ch4,methane,n2o,nitrous_oxide,hfc,hfcs,hydrofluorocarbon,pfc,pfcs,perfluorocarbon,sf6,sulfur_hexafluoride,nf3,nitrogen_trifluoride,ghg,ghgs,carbon_intensity,ghg_intensity,kyoto_protocol,iso14064,co2e,emission_factor,ghg_footprint,accordancewith,iso1406432006e,methane_emission,andverification,egrid,epa_egrid,carbon_dioxide_equivalent,specification_guidance_validation,verificationopinion,million_metric_ton,gasghg,n2o,greenhouse_gas_assertion,egrid2016,defra,uk_defra,conversion_factor,dekras,carbon_dioxide_equivalent_co2e,verica,wriwbscd,ghgassertion,verificationteam,iso140643,1000as,theghg,reduce_methane_emission,verificationplan,equivalent_co2e,cxpsghg,subregion,metric_ton,egrid2012,wdcs,nox,c4f8,egrid2019,egrid2018,no2equivalent,particulate_matter,metric_ton_carbon_dioxide,sulfur_dioxide_so2,ghg_emission,greenhouse_gas,perfluorocarbon_pfc,scope_1_emission,carbon_dioxide,co2,greenhouse_gas_emission,greenhouse_gas_ghg_emission,nitrogen_trifluoride,nf3,triflouride,ghg_emission_intensity,hexafluoride_sf6,greenhouse_gas_ghg,sf6_emission,gasespart,emission,ch4,perfluorocarbon,pfcs,metric_ton_co2e,carbon_dioxide_co2,hexafluoride,emit,hexauoride,fluorinated,co2e_emission,ghg_inventory,ghg,ghgs,sulfur_hexafluoride,co2_equivalent,ch4_nitrous_oxide_n2o,sf6,carbon_footprint,methane,co2_emission,sulfur_hexafluoride_sf6,hydrofluorocarbon_hfcs,ghgscarbon,ghg_reduction,egrid2014,co2_ch4_n2o_hfc,hydrofluorocarbon,hfc,ch4_nitrous,ghds,hydrofluorocarbonsare,pfc,absolute_emission,calculation_co2_ch4,hfcs,carbon_emission,n2o_hfc_pfc_sf6,refrigerant,nitrogen_oxide,oxide_n2o,hfc_pfc,emission_reduction,sf6_nf3,greenhouse_gas_inventory,carbon_dioxide_co2_methane,gasinsulate,co2_methane_ch4_nitrous,pfc_sf6_nf3,nitrous_oxide_n2o,n2o_hfc,kgco2etherm,co_2,monoxide,co2_ch4,co2_emit,sequester,emission_intensity,nitrous,colorless,ton_co2,fugtive,protocolcarbon,indirect_emission,release_atmosphere,co2e,scope_2_emission,nitrous_oxide,potent_greenhouse_gas,highgwp,ghgmrr,mtco2esq,energy_intensity,n20,carbon_dioxide_emission,cf6,scope_1,air_emission,scope_3,nonbiogenic,hydrofluoroolefin,indirect_ghg_emission,tonsmwh,htfs,hydrochlorofluorocarbon,montreal_protocol,gjm,hcfc,kgft3,co2_methane,ozonedepletion,chlorofluorocarbon_cfc,fgase,hfcbased"
Air Quality,"nox,nitrogen_oxides,nitrogen_oxide_emissions,sox,sulfur_oxides,sulfur_oxide_emissions,volatile_organic_compounds,volatile_organic_compound,voc,vocs,particulate_matter,pm10,pm10_emissions,pm2.5,pm2.5_emissions,black_carbon,black_carbon_emissions,chlorofluorocarbon,chlorofluorocarbons,cfc,cfcs,ozone_precursor,ozone_precursors,stack_emission,stack_emissions,ambient_air_quality,ambient_air_pollution,air_pollutant,smog,airborne_toxics,aermod,aqi","sox,volatile_organic_compound,voc,vocs,pm10,heavy_metal,cfc,cfcs,ambient_air_quality,air_pollutant,smog,corporateregistercom,naaqs,sulfur_dioxide_emission,so2_emission,selective_catalytic_reduction,cadmium,scrs,nox_emission,nitrogen_oxide_nox,111trichloroethane,particulate_matter_pm,oxide_nitrogen,carbon_monoxide_co,sulfur_oxide,sulfur_dioxide_nitrogen_oxide,particulate_emission,air_pollutant,sulfur_dioxide,sox_particulate,volatile_organic_compound_vocs,dpfs,particulate,voc,vocs,volatile_organic_compound_voc,volatile_organic_compound,nox_particulate,pm10,dpf,air_pollution,air_quality,criterion_pollutant,soot,pm25,so2,voc_emission,dioxide_so2,overfire,oxides,matter_pm,nitrogen_oxide_nox_emission,tetrachloride,mgnm3,photochemically,hazardous_air_pollutant,chemicalsspecifically,nox_sox,nitrogen_oxide_nox_sulfur,nox_sulfur,significate,c29,sox_nox,aldehyde,hcfcs,nonvoc,offgasse,formaldehyde,semivolatile,hap,compound_vocs,biooxidation,carbon_monoxide"
Energy Management,"energy_efficiency,energy_efficiencies,energy_intensity,energy_intensities,energy_mix,energy_portfolio,grid_reliance,grid_dependency,renewable_energy,renewables_share,energy_consumption,energy_consumptions,gwh,mwh,joule,joules,iso50001,energy_management_standard,pue,power_usage_effectiveness,data_center_energy,data_center_energy_use,energy_audit,energy_audits,demand_response,demand_response_programs,energy_management_system,energy_management_systems,energy_saving,load_factor,peak_demand,smart_metering,building_energy_modeling","energy_efficiency,renewable_energy,energy_consumption,gwh,joule,iso50001,pue,demand_response,energy_saving,peak_demand,smart_metering,renewable_power,wind_solar,renewable_electricity,solar_wind,purchase_renewable_energy,usage_effectiveness_pue,solar_power,renewable_generation,onsite_solar,power_purchase_agreement,iso500012018,peak_demand,demand_response,gwh,solar,wind_energy,wind_power,renewable_energy_credit,renewable_resource,green_power,energy_usage,energyefficiency,clean_energy,renewable_source,improve_energy_efficiency,mwh_electricity,kwh,electricity_consumption,megawatt_hour_mwh,energy_saving,energy_efficiency,megawatt_hour,reduce_energy_consumption,megawatthour_mwh,energyefficient,demandresponse,electricity,energy,million_kwh,energysave,gigawatthour,peak_load,electricity_usage,megawatt,energy_consumption,kilowatt_hour,kilowatthour,million_kilowatthour,gigajoule,timeofuse,kwhyear,smartac,smart_thermostat,renewable_energy,smartcharge,peakdemand,smartday,power_consumption,kbtusq,smartrate,smart_meter,million_therm"
Water & Wastewater Management,"water_use,water_uses,water_consumption,water_consumptions,water_intensity,water_intensities,water_recycling,water_recycled,water_efficiency,water_efficiencies,wastewater_discharge,wastewater_discharges,effluent,effluents,groundwater_pollution,groundwater_contamination,aquifer,aquifers,water_stress,water_scarcity,wri_aqueduct,water_withdrawal,water_withdrawals,water_quality,water_qualities,iso14046,greywater,blue_water,water_footprint,stormwater_runoff,effluent_treatment","wastewater_discharge,effluent,groundwater_contamination,aquifer,water_stress,water_scarcity,wri_aqueduct,water_withdrawal,greywater,stormwater_runoff,water_scarcity,stormwater,floridan,storm_water,ewater,water_withdrawal,wri_aqueduct,storm_water_runoff,effluent,runoff,scarcity,water_conservation,groundwater,water_risk_atlas,baseline_water_stress,water_stress,water_discharge,high_extremely_high,wastewater,aqueduct_tool,waterstress,extremely_high_baseline,wastewater_discharge,waterstresse_area,water,waterstresse,world_resources_institute_aqueduct,aqueducttm,water_withdraw,aqueduct_water,wri_aqueduct_tool,aqueduct_water_risk_atlas,treat_wastewater,aqueduct,discharge,water_scarce,effluent_discharge,surface_water,waterscarce,locate_waterstresse,waterscarce_area,freshwater,waterstresse_region,waterrisk,discharge_wastewater,significantly_affect_withdrawal,wastewater_treatment,cubic_meter,waterrelate_risk,wastewater_treatment_plant,rainwater,fresh_water,discharge_permit,wastewater_effluent,potw,municipal_wastewater,biotreatment"
Waste & Hazardous Materials Management,"hazardous_waste,hazardous_wastes,non_hazardous_waste,non_hazardous_wastes,waste_generation,waste_generations,waste_treatment,waste_treatments,waste_storage,waste_storages,waste_disposal,waste_disposals,solid_waste,solid_wastes,waste_recycling,waste_recycled,landfill_diversion,landfill_diversion_rate,circular_economy_waste,waste_management_system,waste_management_systems,listed_waste,listed_wastes,rt_ae_150a_1,basel_convention,radioactive_waste,radioactive_wastes,e_waste,electronic_waste,chemical_waste,waste_hierarchy,composting,anaerobic_digestion","hazardous_waste,waste_disposal,solid_waste,landfill_diversion,landfill_diversion_rate,basel_convention,electronic_waste,composting,anaerobic_digestion,ewaste,hazardous_waste_generate,circular_economy,transboundary,waste,nonhazardous,nonhazardous_waste,waste_landfill,waste_stream,waste_generate,waste_send_landfill,landfill,hazardous_nonhazardous_waste,landfille,compost,hazardous_nonhazardous,itmanage,waste2,diversion_rate,recycling,hazardous_waste_disposal,send_landfill,incinerate,recycle,hazardous_waste,solid_waste,waste_diversion_rate,waste_diversion,waste_disposal,incineration,recycling_rate,divert,divert_landfill,chemicalspecial,dispose,disposal,galsf,weight_transport,landfill1,away_landfill,soil_amendment,wastetoenergy"
Ecological Impacts,"biodiversity,biodiversity_loss,habitat_destruction,habitat_loss,deforestation,deforested_land,land_use_change,land_use_changes,ecosystem_services,ecosystem_service_loss,endangered_species,threatened_species,invasive_species,invasive_species_management,protected_areas,protected_area,environmental_impact_assessment,eia,site_remediation,site_remediations,reclamation,land_reclamation,biodiversity_offsetting,iso14055,habitat_restoration,reforestation,ecological_footprint,species_richness,ecotoxicity","biodiversity,deforestation,endangered_species,eia,reclamation,habitat_restoration,reforestation,ecological_footprint,ecotoxicity,eliminate_deforestation,highconservationvalue,reclaim,contribute_deforestation,reforest,high_biodiversity,ecosystem,habitat,natural_habitat,specie_habitat,specie,wildlife_habitat,ecological,forest,rainforest,wildlife,endanger_specie,species,wetland,threaten_specie,highbiodiversity,wetland_restoration"
Human Rights & Community Relations,"human_rights_due_diligence,human_rights_assessment,indigenous_peoples,indigenous_rights,free_prior_informed_consent,fpic,stakeholder_engagement,stakeholder_involvement,socio_economic_impact,socio_economic_impacts,community_impact_assessment,community_impact_assessments,local_workforce_development,local_hiring,environmental_justice,license_to_operate,social_license,social_license_to_operate,human_rights_policy,labor_rights_assessment,community_grievance_mechanism","fpic,stakeholder_engagement,local_hiring,environmental_justice,prior_inform_consent,materiality_assessment,approach_stakeholder_engagement,ej,prior_informed_consent,external_stakeholder"
Customer Privacy,"personally_identifiable_information,pii,pii_protection,data_privacy,data_privacy_management,opt_in,opt_in_consent,opt_out,opt_out_mechanism,targeted_advertising,behavioral_advertising,consent_management,privacy_impact_assessment,privacy_risk_assessment,gdpr_compliance,gdpr,data_retention_policy,data_retention,cookie_management,cookie_consent,ccpa_compliance,ccpa,privacy_by_design,anonymization,pseudonymization","personally_identifiable_information,pii,gdpr,ccpa,anonymization,cpra,personally_identifiable_information,pii,ccpa,gdpr,data_protection,general_data_protection,lgpd,regulation_gdpr,privacy_act_ccpa,privacy,act_ccpa,european_union_general,data_protection_regulation_gdpr,protection_regulation_gdpr,datum_privacy,dataprivacy,proteo,confidential_information,glba,privacy_security,privacyrelate,eprivacy,9546ec,bliley,identiable,privacyprotecte,gramm,hipaaprotected,hipaa,businesssensitive,privacy_notice"
Data Security,"data_breach,data_breaches,cybersecurity,information_security,info_sec,iso27001,isms,nist_cs_framework,nist_csf,encryption,data_encryption,penetration_testing,pen_testing,vulnerability_assessment,vulnerability_assessments,threat_monitoring,threat_detection,incident_response_plan,mfa,multi_factor_authentication,security_token,security_tokens,confidential_information,confidential_data,attack_surface,security_posture,zero_trust,access_control,siem,security_operations_center","cybersecurity,iso27001,encryption,penetration_testing,vulnerability_assessment,mfa,security_posture,siem,cyber_security,penetration_test,cyber_threat,cirp,cybersecurity_threat,multifactor_authentication,tabletop_exercise,cyberattack,insider_threat,firewall,antimalware,cyberthreat,cybersecurity_framework,nist,phishe,incident_response,cybersecurity,threat_landscape,nist_cybersecurity_framework,penetration_testing,antiphishe,pcidss,standard_technology_nist,intrusion_detection,redteam,ransomware,antivirus,cyber_incident,whiteliste,authentication,emergency_response_plan,malware,security_threat,confdentiality,c2m2,threat_intelligence,internetface,spearphishing,defenseindepth"
Access & Affordability,"digital_divide,digital_gap,underserved_markets,underserved_populations,low_income_customers,low_income_households,affordable_pricing,affordable_price,universal_access,universal_service,inclusive_design,inclusive_designs,accessibility_standards,accessibility_guidelines,broadband_access,broadband_coverage,financial_inclusion,financial_inclusivity,subsidized_services,subsidized_rates,sliding_scale_pricing,sliding_scale_fees,equitable_access,service_coverage_gap","digital_divide,affordable_price"
